family,w_logistic,comparison,horizon,mae_ratio,mae_ci_lower,mae_ci_upper,wis_ratio,wis_ci_lower,wis_ci_upper
seasonal_logistic_mix,0.25,TFP/SimpleTheta,8,2.21052508285191,2.1325851804374403,2.2973940278932807,1.196175871408594,1.1853759605070955,1.2078266367558428
seasonal_logistic_mix,0.25,TFP/SimpleTheta,12,1.5787398164921371,1.5476477237563042,1.6077263622086222,1.06611006228598,1.0583993506168308,1.074620173407078
seasonal_logistic_mix,0.25,TFP/Naive,1,0.8269744395799821,0.8181708653140642,0.8358978082720988,0.9252438015093972,0.9223887481088264,0.9279288027225596
seasonal_logistic_mix,0.25,TFP/Naive,4,0.5433887436910447,0.5370228797549244,0.5491491538517871,0.6031484088146243,0.5976253134718411,0.6089752051350197
seasonal_logistic_mix,0.25,TFP/Naive,8,0.5558444529655259,0.5474870602690739,0.5635071486598405,0.6971726197603315,0.6913589249712861,0.7033621540241386
seasonal_logistic_mix,0.25,TFP/Naive,12,1.291346877032896,1.277683986581957,1.3053114666612242,1.0435688023154115,1.038784979639384,1.0487774373801761
trend_logistic_mix,0.5,TFP/SimpleTheta,1,1.646483360452698,1.6019743933820298,1.6823434898934746,1.3586098143044127,1.3228773079916036,1.3937867579532257
trend_logistic_mix,0.5,TFP/SimpleTheta,4,4.986142721955745,4.805316145554136,5.1721779642987045,3.950628306618149,3.7310841710812586,4.178696178200919
trend_logistic_mix,0.5,TFP/SimpleTheta,8,8.403729456333908,7.989788986915745,8.821843067208174,6.182341287412013,5.793977530242019,6.5660788369342695
trend_logistic_mix,0.5,TFP/SimpleTheta,12,10.980211596719693,10.331033734860833,11.605276669427607,7.471979953069397,7.046522575077753,7.921719920315292
trend_logistic_mix,0.5,TFP/Naive,1,1.4145565649699567,1.3994049121699237,1.4299078184361458,1.2788387513043842,1.2585455024337695,1.2994214643858828
trend_logistic_mix,0.5,TFP/Naive,4,4.328021303482521,4.197298857736741,4.460701217014619,3.814333534627453,3.6226365179475573,4.016020468906006
trend_logistic_mix,0.5,TFP/Naive,8,7.259143973340371,7.005939484962081,7.520712547850367,6.08089465478354,5.734667455556844,6.41179393997163
trend_logistic_mix,0.5,TFP/Naive,12,9.50617149715699,9.166140968779189,9.83772784477529,7.4062619245439665,7.01615583480227,7.799817008490969
seasonal_logistic_mix,0.5,TFP/SimpleTheta,1,1.3755863086442552,1.3504524785874192,1.4013403737425352,1.1096760083301442,1.1044294636677092,1.1154029194281019
seasonal_logistic_mix,0.5,TFP/SimpleTheta,4,2.0740972010527376,2.002009264279417,2.1524847438224977,1.3031517593296806,1.2888760186426005,1.3174675894730399
seasonal_logistic_mix,0.5,TFP/SimpleTheta,8,2.0470458069162345,1.9807735721277182,2.114675542877494,1.1991107149542348,1.1883949709383552,1.2104998387884887
seasonal_logistic_mix,0.5,TFP/SimpleTheta,12,1.4832644936151105,1.4520342047861712,1.5179903726931232,1.0677771479797518,1.0612337852792335,1.0744036576145992
seasonal_logistic_mix,0.5,TFP/Naive,1,0.8430450206084751,0.8329651268167719,0.8524980310883965,0.9259929959729495,0.9231848709619284,0.9288837474798327
seasonal_logistic_mix,0.5,TFP/Naive,4,0.5454406978421343,0.539742635061075,0.5520245785435514,0.6104967396121793,0.6044644430204674,0.6160531463966061
seasonal_logistic_mix,0.5,TFP/Naive,8,0.5619273249139157,0.5539629445212128,0.5703627184720459,0.6990827840728396,0.693206106304392,0.7051567278974135
seasonal_logistic_mix,0.5,TFP/Naive,12,1.2755727722859085,1.2602290402016632,1.2913008953372802,1.0470091775134798,1.0428254116945366,1.0511897198984863
trend_logistic_mix,0.75,TFP/SimpleTheta,1,1.4551835877330592,1.3762787585911804,1.5275342263386478,1.1810476977073145,1.1345959699803632,1.2300624042194006
trend_logistic_mix,0.75,TFP/SimpleTheta,4,4.380435433634533,4.0947624552901685,4.6630942496626,3.052308857364879,2.8151070042150352,3.3097910102797523
trend_logistic_mix,0.75,TFP/SimpleTheta,8,7.3316866560679035,6.741747874362442,7.94821832216415,4.727318934408876,4.377249759129554,5.091677678087123
trend_logistic_mix,0.75,TFP/SimpleTheta,12,9.383870218620746,8.463617237578692,10.219668198031197,5.693556331943877,5.235825754555816,6.143927002145661
trend_logistic_mix,0.75,TFP/Naive,1,1.4175461061499661,1.3975477468504929,1.4362741167774133,1.21216930689177,1.1874702540977213,1.240187227139897
trend_logistic_mix,0.75,TFP/Naive,4,4.393682009119228,4.2366424279677375,4.544530402844343,3.1745618572894077,2.963317395167726,3.4012048777470527
trend_logistic_mix,0.75,TFP/Naive,8,7.5759822518947315,7.323518398559801,7.824038559378359,4.980052367681605,4.635665855880686,5.340659797994484
trend_logistic_mix,0.75,TFP/Naive,12,9.562488702893244,9.123247850914144,9.997082431275327,6.002401331679948,5.572035584772433,6.417905644958537
seasonal_logistic_mix,0.75,TFP/SimpleTheta,1,1.2958019463407402,1.27249850139461,1.31851911714788,1.1041807866210303,1.09709731145295,1.1109916699368667
seasonal_logistic_mix,0.75,TFP/SimpleTheta,4,1.8768020302866792,1.8111516580670022,1.945721022652507,1.2811529994576154,1.265576857348647,1.2956427896015443
seasonal_logistic_mix,0.75,TFP/SimpleTheta,8,1.8174322098150082,1.753789618189487,1.8795921409925502,1.1867934314804072,1.175619278461195,1.198251805272199
seasonal_logistic_mix,0.75,TFP/SimpleTheta,12,1.3952788506028275,1.3573667841000996,1.4347652111292357,1.066954941571862,1.059632591059903,1.0747727084379892
seasonal_logistic_mix,0.75,TFP/Naive,1,0.8539167423709997,0.8440571230634053,0.8640822766343466,0.9287159819129455,0.9252934322497571,0.9323255759415146
seasonal_logistic_mix,0.75,TFP/Naive,4,0.5556850566287266,0.5500514255108098,0.561359867634508,0.6260104105388995,0.6196982127547629,0.6320107304818413
seasonal_logistic_mix,0.75,TFP/Naive,8,0.5681374743229952,0.560159233083574,0.5760337378089705,0.7097923506698891,0.7032407940494853,0.7170438075351767
seasonal_logistic_mix,0.75,TFP/Naive,12,1.2932876378003546,1.2788218202974875,1.3067545646999805,1.0534843097517974,1.0490288852094303,1.0581473372048407
trend_logistic_mix,1.0,TFP/SimpleTheta,1,1.4864704276926655,1.4155900869563178,1.5511957175547237,1.148723147459652,1.1059985128369074,1.192694537185134
trend_logistic_mix,1.0,TFP/SimpleTheta,4,4.360287401831861,4.0913360816678495,4.581827050297971,2.8752159939110102,2.6526103562612895,3.08334422359716
trend_logistic_mix,1.0,TFP/SimpleTheta,8,7.29366990494503,6.772236197658935,7.762992415529219,4.417195487529142,4.083011403467784,4.759243098065684
trend_logistic_mix,1.0,TFP/SimpleTheta,12,9.486253801399986,8.64578986629651,10.292244127485032,5.284868765361588,4.901376965368412,5.6612201757959
trend_logistic_mix,1.0,TFP/Naive,1,1.4247443560700406,1.4088924193712538,1.4397226835292194,1.1953007952554664,1.1723278352349065,1.2169176522702079
trend_logistic_mix,1.0,TFP/Naive,4,4.397431967426003,4.2843045981037475,4.516168255651953,3.036845467518556,2.837486462198942,3.2122318014628655
trend_logistic_mix,1.0,TFP/Naive,8,7.4568220482068455,7.2441150385662985,7.686418761836131,4.708280140205282,4.4002536047978404,5.004576638933145
trend_logistic_mix,1.0,TFP/Naive,12,9.942659280843884,9.570098720662031,10.333789179755893,5.655073908782216,5.286278603820188,6.036960140675276
seasonal_logistic_mix,1.0,TFP/SimpleTheta,1,1.2571641451479483,1.2341526802665488,1.2814638908639042,1.1012223394681548,1.0915464574861198,1.1113541137208627
seasonal_logistic_mix,1.0,TFP/SimpleTheta,4,1.744554550090195,1.6918103762772094,1.7975348471046195,1.2547070105346012,1.242112599786634,1.2663751335054536
seasonal_logistic_mix,1.0,TFP/SimpleTheta,8,1.7082361570528866,1.6509187179173244,1.762747328539318,1.1779043008597931,1.1668005101736085,1.1887009750398179
seasonal_logistic_mix,1.0,TFP/SimpleTheta,12,1.3571193451374353,1.3149604179322862,1.4005459536659486,1.0688255960598452,1.0602951255627178,1.07755440417493
seasonal_logistic_mix,1.0,TFP/Naive,1,0.8740566419692758,0.8643292359736539,0.8839461976982915,0.9371729357533802,0.9332796308803241,0.9410256939017578
seasonal_logistic_mix,1.0,TFP/Naive,4,0.5721159028975137,0.5644834174946105,0.5798239670340488,0.6502513269404333,0.6434508252375303,0.6572459326940328
seasonal_logistic_mix,1.0,TFP/Naive,8,0.5906197824882076,0.5816636865104644,0.5992989829416185,0.7324136165838975,0.7253972903392791,0.7400172777117455
seasonal_logistic_mix,1.0,TFP/Naive,12,1.2858888973385434,1.2727793875397697,1.301646082976341,1.0597893536045344,1.0547574219425788,1.0649955187402385
